,sql_hash,create_time,count,sql_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bd000d27dea8eee7e5e85be14782e48,2025/6/29,536,"select id,access,tenant_id,bu_id,form_data_id,version,form_def_id,form_def_version,value,encrypt_value,type,encry_type,last_version_id,is_deleted,create_time,update_time from workflow_form_data where form_data_id in (...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b67213c15fc18a74880ac606d4ee3790,2025/7/29,69,"select id,access,tenant_id,bu_id,form_permission_id as formfieldpermissionid,form_def_id,form_def_version,value,field_permission_mode,field_property_permission,create_time,update_time from workflow_form_permission where access = ? and tenant_id = ? and bu_id = ? and form_permission_id in (...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299560ec4687fa45916095da5f793c06,2025/7/23,56,"select res.*, var.id_ as var_id_, var.name_ as var_name_, var.var_type_ as var_type_, var.rev_ as var_rev_, var.proc_inst_id_ as var_proc_inst_id_, var.execution_id_ as var_execution_id_, var.task_id_ as var_task_id_, var.bytearray_id_ as var_bytearray_id_, var.double_ as var_double_, var.text_ as var_text_, var.text2_ as var_text2_, var.last_updated_time_ as var_last_updated_time_, var.long_ as var_long_ from act_hi_taskinst res left outer join act_hi_varinst var on res.id_ = ? where res.proc_inst_id_ in (...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45433dd5adba7b7e82dcdf5082727043,2025/6/24,14,"select * from workflow_form_definition where product = ? and tenant_id = ? and bu_id = ? and (form_def_id, version) in (...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,df8447b3fdf48ed7f35b5c35df94c34e,2025/8/16,13,select * from workflow_template_conf_repository where template_id = ? and version > ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1711eed9922c3b0f57ac01d29657663e,2025/8/13,10,select * from workflow_form_definition where template_id = ? and product = ? and tenant_id = ? and bu_id = ? and form_def_scope = ? order by version desc limit 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7516bd2192781bc81215eb57bcd18026,2025/6/30,7,select id from workflow_form_data where (tenant_id = ? and bu_id = ? and id > ?) order by id limit 50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6dfb93277ea69b8ff26d274faa71490b,2025/8/13,4,select id_ from act_hi_actinst where (id_ > ? and id_ in (...),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,332d29c5240a163584f04f91ef21154d,2025/7/3,2,select * from act_hi_taskinst where parent_task_id_ = ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f62be1992c2963767bcb537aab24593,2025/6/19,2,select * from `workflow_template_conf_repository` where `product` = ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27ea7ada07c99481aa540d982f894b87,2025/7/28,2,select * from workflow_template_conf_repository_gray where template_id = ? and version > ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41d043fe8cdf84e9aca462ccd0cffbf4,2025/6/28,1,select * from workflow_form_definition where (id in (...),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11cfbb31ce1643b17d73f16d07b45008,2025/6/28,1,"select version, form_conf, name from workflow_template_conf_repository where (template_id = ? and version >= ?) order by version",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f9c2869b21d4c3a4d9fe626b26a3cda3,2025/7/23,1,select * from `workflow_template_conf_repository` where `deleted` = ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e7cf090c08cb3232df26fb96ea0a44c1,2025/8/14,1,select * from workflow_process_node_def where node_id = ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fce71a7b0ffd2ab3195208f06768a81e,2025/8/14,1,select * from workflow_process_node_def,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8db55ac9d76b0f62152d8ceff3f5bbd8,2025/7/28,1,"select * from workflow_form_definition use index (idx_id_version) where product = ? and tenant_id = ? and bu_id = ? and (form_def_id, version) in (...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14b0fdc1e6352d6a01a14e502ac078e2,2025/8/12,1,select count(*) from act_hi_actinst where id_ in (...),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f0aaf2e1b40bb593eea2eb45b6f21869,2025/8/12,1,select count(*) from act_hi_actinst where proc_inst_id_ in (...),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6ab43bdef6a45e8f257a7ace06cb4183,2025/6/30,1,select count(1) from workflow_form_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e456bffa06958231d602f906bb7a2307,2025/7/25,1,select count(*) from workflow_form_definition where template_id = ? limit 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7c0aad9112ad954750a1ca222cc38093,2025/7/16,1,select * from `workflow_form_landing_portion` where `flow_inst_id` = ? and `access` = ? and `tenant_id` = ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52e816f9ce940ee2d8bbc3facbdf6d43,2025/7/3,1,select * from workflow_form_data where (id in (...),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737e5916c1d7667e7e75938e1f3cde3,2025/7/9,1,select * from `workflow_template_conf_repository` where `template_id` = ? order by `version` desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a83db841f9494aa217a3b794be81aa1b,2025/6/23,1,select * from `workflow_form_landing_portion` order by `create_time` desc limit 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,202b5d63c3d1bc72f42208fd6ca09163,2025/7/30,1,"select flow_inst_id, current_status from workflow_form_landing_portion where access = ? and tenant_id = ? and bu_id = ? and flow_status = ? and flow_inst_id in (...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ecb180afe610553b87fdccdf636e1f03,2025/7/22,1,select * from `workflow_template_conf_repository_gray` where `template_id` = ? order by `id` desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
